UDS 속성명,Gmarket/Auction 필드명,API 영역,사용 문서 수,UDS 필요도,설명
groupNo,groupNo,"Other, 상품 API",3,✅ 핵심 UDS,JSON sample key
harmful,harmful,스타배송 API,1,✅ 핵심 UDS,JSON sample key
hasGoods,hasGoods,스타배송 API,1,✅ 핵심 UDS,JSON sample key
healthFood,healthFood,스타배송 API,1,✅ 핵심 UDS,JSON sample key
html,html,스타배송 API,1,✅ 핵심 UDS,JSON sample key
images,images,스타배송 API,1,✅ 핵심 UDS,JSON sample key
imgUrl,imgUrl,상품 API,1,✅ 핵심 UDS,JSON sample key
imposeType,imposeType,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
independent,independent,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
innerMessage,innerMessage,상품 API,1,✅ 핵심 UDS,JSON sample key
innerResultCode,innerResultCode,상품 API,1,✅ 핵심 UDS,JSON sample key
insertDate,insertDate,상품 API,1,✅ 핵심 UDS,JSON sample key
install,install,스타배송 API,1,✅ 핵심 UDS,JSON sample key
inventoryCode,inventoryCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
invoiceNo,invoiceNo,클레임 API,1,✅ 핵심 UDS,JSON sample key
is3PL,is3PL,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
is3plDeliveryFeeFree,is3plDeliveryFeeFree,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
isAddtionalCondition,isAddtionalCondition,스타배송 API,1,✅ 핵심 UDS,JSON sample key
isAdultProduct,isAdultProduct,스타배송 API,1,✅ 핵심 UDS,JSON sample key
isAgree,isAgree,스타배송 API,1,✅ 핵심 UDS,JSON sample key
isApplyAll,isApplyAll,상품 API,1,✅ 핵심 UDS,JSON sample key
isCashOnDelivery,isCashOnDelivery,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
isConverted,isConverted,상품 API,1,✅ 핵심 UDS,JSON sample key
isDefault,isDefault,"상품 API, 스타배송 API, 주문/배송 API",3,✅ 핵심 UDS,JSON sample key
isDefaultShippingPlace,isDefaultShippingPlace,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
isDisplay,isDisplay,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
isDisplayExclude,isDisplayExclude,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
isEditable,isEditable,상품 API,1,✅ 핵심 UDS,JSON sample key
isEventGoods,isEventGoods,상품 API,1,✅ 핵심 UDS,JSON sample key
isExposure,isExposure,상품 API,1,✅ 핵심 UDS,JSON sample key
isExtraMark,isExtraMark,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
isGift,isGift,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
isGiftOrder,isGiftOrder,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
isHoliday,isHoliday,스타배송 API,2,✅ 핵심 UDS,JSON sample key
isLowestPrice,isLowestPrice,상품 API,1,✅ 핵심 UDS,JSON sample key
isMultipleOrigin,isMultipleOrigin,스타배송 API,1,✅ 핵심 UDS,JSON sample key
isPrepayment,isPrepayment,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
isSell,isSell,"상품 API, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
isSetAdditionalShippingFee,isSetAdditionalShippingFee,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
isSoldOut,isSoldOut,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
isStarDelivery,isStarDelivery,상품 API,1,✅ 핵심 UDS,JSON sample key
isStockManage,isStockManage,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
isTextOption,isTextOption,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
isUse,isUse,"Other, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
isUseGmkPcsCoupon,isUseGmkPcsCoupon,스타배송 API,1,✅ 핵심 UDS,JSON sample key
isUseIacPcsCoupon,isUseIacPcsCoupon,스타배송 API,1,✅ 핵심 UDS,JSON sample key
isUseIsbnCode,isUseIsbnCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
isVatFree,isVatFree,스타배송 API,1,✅ 핵심 UDS,JSON sample key
isYouthNotAvailable,isYouthNotAvailable,스타배송 API,1,✅ 핵심 UDS,JSON sample key
isbnCode,isbnCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
itemAddtionalInfo,itemAddtionalInfo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
itemBasicInfo,itemBasicInfo,"상품 API, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
itemLicenseId,itemLicenseId,스타배송 API,1,✅ 핵심 UDS,JSON sample key
itemStatus,itemStatus,클레임 API,1,✅ 핵심 UDS,JSON sample key
items,items,상품 API,1,✅ 핵심 UDS,JSON sample key
japaneseText,japaneseText,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
jejuAdditionalShippingFee,jejuAdditionalShippingFee,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
jpn,jpn,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
keyword,keyword,상품 API,1,✅ 핵심 UDS,JSON sample key
kor,kor,"Other, 상품 API, 스타배송 API",5,✅ 핵심 UDS,JSON sample key
korEng,korEng,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
koreanText,koreanText,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
largeCatCode,largeCatCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
licenseSeq,licenseSeq,스타배송 API,1,✅ 핵심 UDS,JSON sample key
life,life,스타배송 API,1,✅ 핵심 UDS,JSON sample key
lowestPrice,lowestPrice,상품 API,1,✅ 핵심 UDS,JSON sample key
maker,maker,상품 API,1,✅ 핵심 UDS,JSON sample key
manageCode,manageCode,"Other, 스타배송 API",5,✅ 핵심 UDS,JSON sample key
managedCode,managedCode,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
mandatorySafetySign,mandatorySafetySign,스타배송 API,1,✅ 핵심 UDS,JSON sample key
manufacturedDate,manufacturedDate,스타배송 API,1,✅ 핵심 UDS,JSON sample key
medicalInstrument,medicalInstrument,스타배송 API,1,✅ 핵심 UDS,JSON sample key
message,message,"CS API, Other, 상품 API, 서비스 API, 스타배송 API, 주문/배송 API",53,✅ 핵심 UDS,JSON sample key
middleCatCode,middleCatCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
modelName,modelName,스타배송 API,1,✅ 핵심 UDS,JSON sample key
name,name,"Other, 상품 API, 서비스 API, 스타배송 API",5,✅ 핵심 UDS,JSON sample key
name1,name1,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
name2,name2,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
officialNotice,officialNotice,스타배송 API,1,✅ 핵심 UDS,JSON sample key
officialNoticeItemelementCode,officialNoticeItemelementCode,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
officialNoticeNo,officialNoticeNo,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
orderClosingTime,orderClosingTime,스타배송 API,1,✅ 핵심 UDS,JSON sample key
orderOpts,orderOpts,스타배송 API,1,✅ 핵심 UDS,JSON sample key
orderType,orderType,"CS API, 주문/배송 API",2,✅ 핵심 UDS,JSON sample key
origin,origin,스타배송 API,1,✅ 핵심 UDS,JSON sample key
overseaSales,overseaSales,스타배송 API,1,✅ 핵심 UDS,JSON sample key
owQty,owQty,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
pageIndex,pageIndex,"Other, 상품 API, 스타배송 API, 주문/배송 API",5,✅ 핵심 UDS,JSON sample key
pageSize,pageSize,"Other, 상품 API, 스타배송 API, 주문/배송 API",5,✅ 핵심 UDS,JSON sample key
payNo,payNo,"CS API, 주문/배송 API, 클레임 API",4,✅ 핵심 UDS,JSON sample key
pcs,pcs,스타배송 API,1,✅ 핵심 UDS,JSON sample key
phoneNo,phoneNo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
pickupCompCode,pickupCompCode,클레임 API,1,✅ 핵심 UDS,JSON sample key
placeName,placeName,"상품 API, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
placeNo,placeNo,"상품 API, 스타배송 API",7,✅ 핵심 UDS,JSON sample key
plusOne,plusOne,상품 API,1,✅ 핵심 UDS,JSON sample key
policies,policies,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
policy,policy,스타배송 API,1,✅ 핵심 UDS,JSON sample key
policyNo,policyNo,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
priceOrRate1,priceOrRate1,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
priceOrRate2,priceOrRate2,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
prmtGoodsName,prmtGoodsName,상품 API,1,✅ 핵심 UDS,JSON sample key
prmtGoodsNameType,prmtGoodsNameType,상품 API,1,✅ 핵심 UDS,JSON sample key
productBrand,productBrand,상품 API,1,✅ 핵심 UDS,JSON sample key
promotion,promotion,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
promotionIac,promotionIac,상품 API,1,✅ 핵심 UDS,JSON sample key
promotionNo,promotionNo,상품 API,2,✅ 핵심 UDS,JSON sample key
promotionType,promotionType,상품 API,1,✅ 핵심 UDS,JSON sample key
qty,qty,"Other, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
qtyInfo,qtyInfo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
query,query,상품 API,1,✅ 핵심 UDS,JSON sample key
quickService,quickService,스타배송 API,1,✅ 핵심 UDS,JSON sample key
readyDurationDay,readyDurationDay,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
reason,reason,클레임 API,1,✅ 핵심 UDS,JSON sample key
recommendedOptName,recommendedOptName,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
recommendedOptNo,recommendedOptNo,"Other, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
recommendedOptNo1,recommendedOptNo1,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
recommendedOptNo2,recommendedOptNo2,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
recommendedOptTypeName,recommendedOptTypeName,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
recommendedOptValue,recommendedOptValue,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
recommendedOptValue1,recommendedOptValue1,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
recommendedOptValue2,recommendedOptValue2,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
recommendedOptValueName,recommendedOptValueName,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
recommendedOptValueNo,recommendedOptValueNo,"Other, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
recommendedOptValueNo1,recommendedOptValueNo1,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
recommendedOptValueNo2,recommendedOptValueNo2,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
recommendedOpts,recommendedOpts,스타배송 API,1,✅ 핵심 UDS,JSON sample key
registrationDate,registrationDate,상품 API,1,✅ 핵심 UDS,JSON sample key
requestDateType,requestDateType,주문/배송 API,1,✅ 핵심 UDS,JSON sample key
resultCode,resultCode,"CS API, Other, 상품 API, 서비스 API, 스타배송 API, 주문/배송 API",53,✅ 핵심 UDS,JSON sample key
returnAndExchange,returnAndExchange,스타배송 API,1,✅ 핵심 UDS,JSON sample key
safetyCerts,safetyCerts,스타배송 API,1,✅ 핵심 UDS,JSON sample key
sellEndDate,sellEndDate,상품 API,1,✅ 핵심 UDS,JSON sample key
sellManageCode,sellManageCode,상품 API,1,✅ 핵심 UDS,JSON sample key
sellStatus,sellStatus,"CS API, 상품 API",2,✅ 핵심 UDS,JSON sample key
sellStopDate,sellStopDate,상품 API,1,✅ 핵심 UDS,JSON sample key
sellerDiscount,sellerDiscount,"Other, 상품 API, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
sellerShop,sellerShop,스타배송 API,1,✅ 핵심 UDS,JSON sample key
sellingPeriod,sellingPeriod,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
shipmentPlaceNo,shipmentPlaceNo,스타배송 API,1,✅ 핵심 UDS,JSON sample key
shipping,shipping,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
shippingCompany,shippingCompany,스타배송 API,1,✅ 핵심 UDS,JSON sample key
shippingEnableRegionCode,shippingEnableRegionCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
shippingFee,shippingFee,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
shippingPlaces,shippingPlaces,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
shop,shop,스타배송 API,1,✅ 핵심 UDS,JSON sample key
site,site,"상품 API, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
siteCatCode,siteCatCode,상품 API,1,✅ 핵심 UDS,JSON sample key
siteDetail,siteDetail,"상품 API, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
siteDiscount,siteDiscount,스타배송 API,1,✅ 핵심 UDS,JSON sample key
siteGoodsNos,siteGoodsNos,상품 API,1,✅ 핵심 UDS,JSON sample key
siteId,siteId,상품 API,1,✅ 핵심 UDS,JSON sample key
siteSellerId,siteSellerId,상품 API,1,✅ 핵심 UDS,JSON sample key
skuId,skuId,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
skuInfo,skuInfo,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
smallCatCode,smallCatCode,스타배송 API,1,✅ 핵심 UDS,JSON sample key
sortField,sortField,상품 API,1,✅ 핵심 UDS,JSON sample key
sortOrder,sortOrder,상품 API,1,✅ 핵심 UDS,JSON sample key
sortSeq,sortSeq,스타배송 API,1,✅ 핵심 UDS,JSON sample key
startDate,startDate,"CS API, Other, 상품 API, 스타배송 API",9,✅ 핵심 UDS,JSON sample key
text,text,"Other, 스타배송 API",3,✅ 핵심 UDS,JSON sample key
totalCount,totalCount,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
totalItems,totalItems,상품 API,1,✅ 핵심 UDS,JSON sample key
typeName,typeName,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
unit,unit,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
unitDate,unitDate,스타배송 API,1,✅ 핵심 UDS,JSON sample key
updateDate,updateDate,상품 API,1,✅ 핵심 UDS,JSON sample key
updatedDate,updatedDate,상품 API,1,✅ 핵심 UDS,JSON sample key
useAddonService,useAddonService,상품 API,1,✅ 핵심 UDS,JSON sample key
useDiscount,useDiscount,상품 API,1,✅ 핵심 UDS,JSON sample key
useOption,useOption,상품 API,1,✅ 핵심 UDS,JSON sample key
useOrderOption,useOrderOption,상품 API,1,✅ 핵심 UDS,JSON sample key
value,value,"Other, 스타배송 API",2,✅ 핵심 UDS,JSON sample key
value1,value1,스타배송 API,1,✅ 핵심 UDS,JSON sample key
value2,value2,스타배송 API,1,✅ 핵심 UDS,JSON sample key
visitAndTake,visitAndTake,스타배송 API,1,✅ 핵심 UDS,JSON sample key
vol,vol,스타배송 API,1,✅ 핵심 UDS,JSON sample key
weight,weight,스타배송 API,1,✅ 핵심 UDS,JSON sample key
가격,"Price, price","상품 API, 스타배송 API",4,✅ 핵심 UDS,JSON sample key
가격비교사이트 상품 노출 여부,addtionalInfo>pcs>isUse,상품 API,1,✅ 핵심 UDS,true : 노출함 false : 노출하지 않음
가격비교사이트 상품등록여부,addtionalInfo>pcs>isUse,스타배송 API,1,✅ 핵심 UDS,가격비교사이트 노출여부 true : 등록 ( 노출됨 ) false : 등록하지 않음 ( 미노출 )
가격확인여부,STOCK_REMAIN_INFO>PRICE_YN,서비스 API,1,✅ 핵심 UDS,제휴사 상품번호 (PRODUCT > NO) 에 해당하는 상품 판매 가격 ( 옥션 전송 XML: PRODUCT > PRICE) 의 가격 확인여부
개인통관번호,data>InfoCin,주문/배송 API,1,✅ 핵심 UDS,고객이 주문 시 입력한 개인통관번호 데이터
검색 키워드,keyword,상품 API,1,✅ 핵심 UDS,"- 상품명, 브랜드명, 제조사명, 관리코드 검색 가능 - 키워드는 1개씩만 입력 가능"
검색어,SearchString,"Other, 스타배송 API",2,✅ 핵심 UDS,SKU검색조건 > SKU_ID or BARCODE 값일 경우 필수 조회하고자 하는 SKU 정보 입력
검색용 국문상품명,itemBasicInfo>goodsName>kor,스타배송 API,1,✅ 핵심 UDS,구매자에게 ESM 브랜드명 + 검색용 상품명 + 프로모션용 상품명순으로 노출됨 검색용 + 프로모션용 최대 50byte 까지 입력 가능하며 ESM 브랜드는 입력글자수 제한에 미포함됨 검색용 상품명은 10 일 이내 판매이력이 없을 경우만 수정 가능하고 그 이후에는 수정 불가함
검색용 상품명 (국문),itemBasicInfo>goodsName>kor,상품 API,1,✅ 핵심 UDS,- 검색용+프로모션용 최대 100byte 까지 가능 - 일부 카테고리 제외 수정 가능
검수방식,InspectMthdType,스타배송 API,1,✅ 핵심 UDS,검수방식 입력 1. 위탁검수 2. 판매자(화주)직접검수
결과,resultCode,"CS API, 클레임 API",2,✅ 핵심 UDS,0 : 성공 그외 : 실패
결과상세,Data>Reporting>Memo,스타배송 API,1,✅ 핵심 UDS,
결과코드,"ResultCode, resultCode","CS API, Other, 상품 API, 서비스 API, 스타배송 API, 정산조회 API, 주문/배송 API, 클레임 API",101,✅ 핵심 UDS,"성공 : Success 실패 : Error Code 참고 옥션의 경우, 아래규칙으로 내려감 Result Code 1000 (데이터 조회 없음) Result Code 2000 (파라미터 유효하지 않음) Result Code 8000 (처리결과 실패) Result Code 8668 (비즈니스 에러) >> 원인별 상세 “BizRuleCode” 값 내려감"
결제금액,data>AcntMoney,주문/배송 API,1,✅ 핵심 UDS,- (판매단가 * 수량) + 옵션가 - 판매자 할인 총액 - 판매자 지급 스마일캐시 - 지마켓 또는 옥션 할인금액 + 배송비 - 결제금액 (배송비 포함) G마켓은 장바구니 내 1개의 주문번호에만 배송비 Sum 내려감 옥션은 장바구니 내 모든 주문번호에 배송비 Sum으로 내려감
결제기한,data>RequestOrders>DepositDueDate,주문/배송 API,1,✅ 핵심 UDS,주문일 +1일
결제예정금액,data>RequestOrders>AcntMoney,주문/배송 API,1,✅ 핵심 UDS,- (판매단가 * 수량) + 옵션가 - 판매자 할인금액 총액 - 판매자 지급 스마일캐시 - 사이트 할인금액 + 배송비 - G마켓은 장바구니 내 1개의 주문번호에만 배송비 Sum 내려감 - 옥션은 장바구니 내 모든 주문번호에 배송비 Sum으로 내려감
결제일자,"Data>PayDate, PayDate, data>PayDate","정산조회 API, 주문/배송 API, 클레임 API",5,✅ 핵심 UDS,
고객배송희망일자,DeliveryWishDate,스타배송 API,1,✅ 핵심 UDS,외부채널에서 고객이 배송희망일자 선택했을 경우 연동
고시정보 상품 상세설명 참조 표기 여부,itemAddtionalInfo>officialNotice>isExtraMark,상품 API,1,✅ 핵심 UDS,true : 상품 상세설명 참조로 표기 false : 고시 정보 직접 입력 (value 입력 필요)
공급원가,"Data>GoodsCost, data>CostPrice","정산조회 API, 주문/배송 API",2,✅ 핵심 UDS,공급원가
공제환급금,Data>DeductNontaxPrice,정산조회 API,1,✅ 핵심 UDS,옥션 - 판매자쿠폰수수료/복수구매할인수수료
과세구분,Data>TaxYn,정산조회 API,1,✅ 핵심 UDS,0 : 과세 1 : 면세 2 : 영세 8 : 영세 9 : 영세
관부과세포함 여부,dutyIncludedYn,주문/배송 API,1,✅ 핵심 UDS,(26년 4월16일 부터 설정 가능) 해외발송 경우만 설정 가능 Y : 관부과세 포함 N : 관부과세 미포함
교환배송비,data>ExchangeShippingFee,클레임 API,1,✅ 핵심 UDS,교환신청 시 구매자에게 부과된 금액
교환배송비 결제수단,data>ExchangeShippingFeeWay,클레임 API,1,✅ 핵심 UDS,1 : 지금결제함(카드결제/핸드폰결제 등) 2 : 환불금 차감 대기 3 : 판매자 직접 결제 4 : 상품에 동봉함 5 : 스마일캐시 결제 6 : 기타
